%CPU     ELAPSED
%CPU     ELAPSED
%CPU     ELAPSED
%CPU     ELAPSED
60.7       00:17
%CPU     ELAPSED
60.3       00:22
%CPU     ELAPSED
60.9       00:27
%CPU     ELAPSED
61.2       00:32
%CPU     ELAPSED
61.2       00:37
%CPU     ELAPSED
61.5       00:42
%CPU     ELAPSED
60.3       00:48
%CPU     ELAPSED
60.7       00:53
%CPU     ELAPSED
60.3       00:58
%CPU     ELAPSED
60.0       01:03
%CPU     ELAPSED
60.2       01:08
%CPU     ELAPSED
60.0       01:13
%CPU     ELAPSED
60.3       01:18
%CPU     ELAPSED
60.4       01:23
%CPU     ELAPSED
60.6       01:28
%CPU     ELAPSED
60.9       01:33
%CPU     ELAPSED
60.2       01:39
%CPU     ELAPSED
60.4       01:44
%CPU     ELAPSED
60.5       01:49
%CPU     ELAPSED
60.7       01:54
%CPU     ELAPSED
60.7       01:59
%CPU     ELAPSED
60.8       02:04
%CPU     ELAPSED
60.9       02:09
%CPU     ELAPSED
61.0       02:14
%CPU     ELAPSED
61.1       02:19
%CPU     ELAPSED
61.2       02:24
%CPU     ELAPSED
61.3       02:29
%CPU     ELAPSED
61.0       02:35
%CPU     ELAPSED
61.1       02:40
%CPU     ELAPSED
61.1       02:45
%CPU     ELAPSED
61.1       02:50
%CPU     ELAPSED
61.1       02:55
%CPU     ELAPSED
61.2       03:00
%CPU     ELAPSED
61.2       03:05
%CPU     ELAPSED
61.2       03:10
%CPU     ELAPSED
61.2       03:15
%CPU     ELAPSED
61.1       03:20
%CPU     ELAPSED
61.3       03:25
%CPU     ELAPSED
60.9       03:31
%CPU     ELAPSED
60.9       03:36
%CPU     ELAPSED
60.9       03:41
%CPU     ELAPSED
60.9       03:46
%CPU     ELAPSED
61.0       03:51
%CPU     ELAPSED
61.0       03:56
%CPU     ELAPSED
61.0       04:01
%CPU     ELAPSED
61.0       04:06
%CPU     ELAPSED
61.1       04:11
%CPU     ELAPSED
61.0       04:16
%CPU     ELAPSED
60.8       04:22
%CPU     ELAPSED
60.9       04:27
%CPU     ELAPSED
60.9       04:32
%CPU     ELAPSED
60.9       04:37
%CPU     ELAPSED
61.0       04:42
%CPU     ELAPSED
60.9       04:47
%CPU     ELAPSED
60.8       04:52
%CPU     ELAPSED
60.9       04:57
%CPU     ELAPSED
60.9       05:02
%CPU     ELAPSED
60.9       05:07
%CPU     ELAPSED
61.0       05:12
%CPU     ELAPSED
60.8       05:18
%CPU     ELAPSED
60.8       05:23
%CPU     ELAPSED
60.8       05:28
%CPU     ELAPSED
60.9       05:33
%CPU     ELAPSED
60.9       05:38
%CPU     ELAPSED
60.9       05:43
%CPU     ELAPSED
60.9       05:48
%CPU     ELAPSED
60.9       05:53
%CPU     ELAPSED
60.9       05:58
%CPU     ELAPSED
60.9       06:03
%CPU     ELAPSED
60.8       06:09
%CPU     ELAPSED
60.8       06:14
%CPU     ELAPSED
60.8       06:19
%CPU     ELAPSED
60.9       06:24
%CPU     ELAPSED
60.9       06:29
%CPU     ELAPSED
60.9       06:34
%CPU     ELAPSED
60.9       06:39
%CPU     ELAPSED
60.9       06:44
%CPU     ELAPSED
61.0       06:49
%CPU     ELAPSED
61.0       06:54
%CPU     ELAPSED
61.0       06:59
%CPU     ELAPSED
60.9       07:05
%CPU     ELAPSED
60.9       07:10
%CPU     ELAPSED
60.9       07:15
%CPU     ELAPSED
61.0       07:20
%CPU     ELAPSED
61.0       07:25
%CPU     ELAPSED
61.0       07:30
%CPU     ELAPSED
61.0       07:35
%CPU     ELAPSED
61.0       07:40
%CPU     ELAPSED
61.0       07:45
%CPU     ELAPSED
61.0       07:50
%CPU     ELAPSED
61.0       07:55
%CPU     ELAPSED
60.9       08:01
%CPU     ELAPSED
60.9       08:06
%CPU     ELAPSED
60.9       08:11
%CPU     ELAPSED
60.9       08:16
%CPU     ELAPSED
60.9       08:21
%CPU     ELAPSED
61.0       08:26
%CPU     ELAPSED
61.0       08:31
%CPU     ELAPSED
61.0       08:36
%CPU     ELAPSED
61.0       08:41
%CPU     ELAPSED
61.0       08:46
%CPU     ELAPSED
60.9       08:52
%CPU     ELAPSED
61.0       08:57
%CPU     ELAPSED
61.0       09:02
%CPU     ELAPSED
61.0       09:07
%CPU     ELAPSED
61.0       09:12
%CPU     ELAPSED
61.0       09:17
%CPU     ELAPSED
61.0       09:22
%CPU     ELAPSED
61.0       09:27
%CPU     ELAPSED
61.0       09:32
%CPU     ELAPSED
61.0       09:37
%CPU     ELAPSED
61.0       09:42
%CPU     ELAPSED
60.9       09:48
%CPU     ELAPSED
61.0       09:53
%CPU     ELAPSED
