%CPU     ELAPSED
11.7       00:10
%CPU     ELAPSED
11.7       00:15
%CPU     ELAPSED
11.9       00:20
%CPU     ELAPSED
12.2       00:25
%CPU     ELAPSED
11.8       00:31
%CPU     ELAPSED
11.8       00:36
%CPU     ELAPSED
11.8       00:41
%CPU     ELAPSED
11.9       00:46
%CPU     ELAPSED
11.9       00:51
%CPU     ELAPSED
11.9       00:56
%CPU     ELAPSED
11.9       01:01
%CPU     ELAPSED
11.9       01:06
%CPU     ELAPSED
11.9       01:11
%CPU     ELAPSED
11.9       01:16
%CPU     ELAPSED
12.0       01:21
%CPU     ELAPSED
11.9       01:27
%CPU     ELAPSED
11.9       01:32
%CPU     ELAPSED
11.9       01:37
%CPU     ELAPSED
11.9       01:42
%CPU     ELAPSED
11.9       01:47
%CPU     ELAPSED
11.9       01:52
%CPU     ELAPSED
11.9       01:57
%CPU     ELAPSED
11.9       02:02
%CPU     ELAPSED
11.9       02:07
%CPU     ELAPSED
11.9       02:12
%CPU     ELAPSED
11.9       02:17
%CPU     ELAPSED
11.9       02:23
%CPU     ELAPSED
11.9       02:28
%CPU     ELAPSED
11.9       02:33
%CPU     ELAPSED
11.9       02:38
%CPU     ELAPSED
11.9       02:43
%CPU     ELAPSED
11.9       02:48
%CPU     ELAPSED
11.9       02:53
%CPU     ELAPSED
11.9       02:58
%CPU     ELAPSED
11.9       03:03
%CPU     ELAPSED
11.9       03:08
%CPU     ELAPSED
12.0       03:13
%CPU     ELAPSED
11.9       03:19
%CPU     ELAPSED
11.9       03:24
%CPU     ELAPSED
11.9       03:29
%CPU     ELAPSED
11.9       03:34
%CPU     ELAPSED
11.9       03:39
%CPU     ELAPSED
11.9       03:44
%CPU     ELAPSED
11.9       03:49
%CPU     ELAPSED
11.9       03:54
%CPU     ELAPSED
11.9       03:59
%CPU     ELAPSED
11.9       04:04
%CPU     ELAPSED
11.9       04:10
%CPU     ELAPSED
11.9       04:15
%CPU     ELAPSED
11.9       04:20
%CPU     ELAPSED
11.9       04:25
%CPU     ELAPSED
11.9       04:30
%CPU     ELAPSED
11.9       04:35
%CPU     ELAPSED
11.9       04:40
%CPU     ELAPSED
11.9       04:45
%CPU     ELAPSED
11.9       04:50
