%CPU     ELAPSED
12.0       00:01
%CPU     ELAPSED
 9.5       00:06
%CPU     ELAPSED
 9.2       00:11
%CPU     ELAPSED
 9.1       00:16
%CPU     ELAPSED
 9.1       00:21
%CPU     ELAPSED
 8.8       00:27
%CPU     ELAPSED
 8.8       00:32
%CPU     ELAPSED
 8.8       00:37
%CPU     ELAPSED
 8.9       00:42
%CPU     ELAPSED
 8.9       00:47
%CPU     ELAPSED
 8.9       00:52
%CPU     ELAPSED
 8.9       00:57
%CPU     ELAPSED
 8.8       01:03
%CPU     ELAPSED
 8.7       01:08
%CPU     ELAPSED
 8.7       01:13
%CPU     ELAPSED
 8.7       01:18
%CPU     ELAPSED
 8.7       01:23
%CPU     ELAPSED
 8.8       01:28
%CPU     ELAPSED
 8.8       01:33
%CPU     ELAPSED
 8.7       01:39
%CPU     ELAPSED
 8.7       01:44
%CPU     ELAPSED
 8.6       01:49
%CPU     ELAPSED
 8.6       01:54
%CPU     ELAPSED
 8.6       01:59
%CPU     ELAPSED
 8.7       02:04
%CPU     ELAPSED
 8.7       02:09
%CPU     ELAPSED
 8.6       02:15
%CPU     ELAPSED
 8.6       02:20
%CPU     ELAPSED
 8.7       02:25
%CPU     ELAPSED
 8.6       02:30
%CPU     ELAPSED
 8.7       02:35
%CPU     ELAPSED
 8.7       02:40
%CPU     ELAPSED
 8.6       02:46
%CPU     ELAPSED
 8.6       02:51
%CPU     ELAPSED
 8.6       02:56
%CPU     ELAPSED
 8.6       03:01
%CPU     ELAPSED
 8.6       03:06
%CPU     ELAPSED
 8.6       03:11
%CPU     ELAPSED
 8.6       03:16
%CPU     ELAPSED
 8.6       03:22
%CPU     ELAPSED
 8.6       03:27
%CPU     ELAPSED
 8.6       03:32
%CPU     ELAPSED
 8.6       03:37
%CPU     ELAPSED
 8.6       03:42
%CPU     ELAPSED
 8.6       03:47
%CPU     ELAPSED
 8.6       03:52
%CPU     ELAPSED
 8.6       03:57
%CPU     ELAPSED
 8.6       04:03
%CPU     ELAPSED
 8.6       04:08
%CPU     ELAPSED
 8.6       04:13
%CPU     ELAPSED
 8.6       04:18
%CPU     ELAPSED
 8.5       04:23
%CPU     ELAPSED
 8.5       04:28
%CPU     ELAPSED
 8.5       04:33
%CPU     ELAPSED
 8.5       04:39
%CPU     ELAPSED
 8.5       04:44
%CPU     ELAPSED
 8.5       04:49
%CPU     ELAPSED
 8.5       04:54
%CPU     ELAPSED
 8.5       04:59
%CPU     ELAPSED
 8.5       05:04
%CPU     ELAPSED
 8.5       05:09
%CPU     ELAPSED
 8.5       05:15
%CPU     ELAPSED
 8.5       05:20
%CPU     ELAPSED
 8.5       05:25
%CPU     ELAPSED
 8.5       05:30
%CPU     ELAPSED
 8.5       05:35
%CPU     ELAPSED
 8.5       05:40
%CPU     ELAPSED
 8.5       05:45
%CPU     ELAPSED
 8.5       05:51
%CPU     ELAPSED
 8.5       05:56
%CPU     ELAPSED
 8.5       06:01
%CPU     ELAPSED
 8.5       06:06
%CPU     ELAPSED
 8.5       06:11
%CPU     ELAPSED
 8.5       06:16
%CPU     ELAPSED
 8.5       06:21
%CPU     ELAPSED
 8.5       06:27
%CPU     ELAPSED
 8.5       06:32
%CPU     ELAPSED
 8.5       06:37
%CPU     ELAPSED
 8.5       06:42
%CPU     ELAPSED
 8.5       06:47
%CPU     ELAPSED
 8.5       06:52
%CPU     ELAPSED
 8.5       06:57
%CPU     ELAPSED
 8.5       07:03
%CPU     ELAPSED
 8.5       07:08
%CPU     ELAPSED
 8.5       07:13
%CPU     ELAPSED
 8.5       07:18
%CPU     ELAPSED
 8.5       07:23
%CPU     ELAPSED
 8.5       07:28
%CPU     ELAPSED
 8.5       07:33
%CPU     ELAPSED
 8.5       07:39
%CPU     ELAPSED
 8.5       07:44
%CPU     ELAPSED
 8.5       07:49
%CPU     ELAPSED
 8.5       07:54
%CPU     ELAPSED
 8.5       07:59
%CPU     ELAPSED
 8.5       08:04
%CPU     ELAPSED
 8.5       08:09
%CPU     ELAPSED
 8.5       08:15
%CPU     ELAPSED
 8.5       08:20
%CPU     ELAPSED
 8.5       08:25
%CPU     ELAPSED
 8.5       08:30
%CPU     ELAPSED
 8.5       08:35
%CPU     ELAPSED
 8.5       08:40
%CPU     ELAPSED
 8.5       08:45
%CPU     ELAPSED
 8.5       08:51
%CPU     ELAPSED
 8.5       08:56
%CPU     ELAPSED
 8.5       09:01
%CPU     ELAPSED
 8.5       09:06
%CPU     ELAPSED
 8.5       09:11
%CPU     ELAPSED
 8.5       09:16
%CPU     ELAPSED
 8.5       09:22
%CPU     ELAPSED
 8.5       09:27
%CPU     ELAPSED
 8.5       09:32
%CPU     ELAPSED
 8.5       09:37
%CPU     ELAPSED
 8.5       09:42
%CPU     ELAPSED
